sample_id,true_label,base_pred,steered_pred,base_case,steered_case,base_status,steered_status,effect_group,prediction_changed,condition_score,condition_threshold,condition_gate
gptgeochat-118749832,A,B,C,A_to_B,A_to_C,over,over,wrong_to_wrong,True,-0.037765782326459885,-0.07901761,True
gptgeochat-1247684770,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.14479048550128937,-0.07901761,False
gptgeochat-133676465,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.03582310304045677,-0.07901761,True
gptgeochat-1366288136,A,B,C,A_to_B,A_to_C,over,over,wrong_to_wrong,True,-0.11194266378879547,-0.07901761,False
gptgeochat-1469215985,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.054403699934482574,-0.07901761,True
gptgeochat-1837873024,B,B,C,B_to_B,B_to_C,correct,over,harmful_over,True,-0.06345061957836151,-0.07901761,True
gptgeochat-1997018249,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.06148156151175499,-0.07901761,True
gptgeochat-2313146545,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.06463341414928436,-0.07901761,True
gptgeochat-248174974,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.03843630105257034,-0.07901761,True
im2gps3k-175835676,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.14772763848304749,-0.07901761,False
im2gps3k-257602406,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.07635034620761871,-0.07901761,True
im2gps3k-31700873,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.054638221859931946,-0.07901761,True
im2gps3k-352380518,C,C,C,C_to_C,C_to_C,correct,correct,correct_to_correct,False,-0.10446710139513016,-0.07901761,False
im2gps3k-379604236,C,B,C,C_to_B,C_to_C,under,correct,helpful_under,True,-0.026350349187850952,-0.07901761,True
im2gps3k-515336129,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,0.022468969225883484,-0.07901761,True
im2gps3k-683194672,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,0.009839287027716637,-0.07901761,True
yfcc-10014760015,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,0.027406420558691025,-0.07901761,True
yfcc-10142038813,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.013267895206809044,-0.07901761,True
yfcc-10170629486,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.054130855947732925,-0.07901761,True
yfcc-10243975684,C,B,A,C_to_B,C_to_A,under,under,wrong_to_wrong,True,-0.018569817766547203,-0.07901761,True
yfcc-109683748,A,B,A,A_to_B,A_to_A,over,correct,helpful_over,True,-0.014486469328403473,-0.07901761,True
yfcc-11167306953,A,A,A,A_to_A,A_to_A,correct,correct,correct_to_correct,False,0.05724232643842697,-0.07901761,True
yfcc-11178409936,B,B,A,B_to_B,B_to_A,correct,under,harmful_under,True,-0.02401672676205635,-0.07901761,True
